date,year,Y_COD,A1_dev_pct,A2,A3_z,FAN_A_mgL,A4_FAN_ratio,n_acute,acute_grade,C1_burden_sm,chronic_phase
2019-08-23,2019,0.30889391056671334,-0.2658563371869982,False,0.4367012777415558,,,0,정상,-1.0352760736196287,정상
2019-08-24,2019,,,False,0.19938206583444484,,,0,정상,-0.9138548057259721,정상
2019-08-25,2019,,,False,1.3585953184386923,,,0,정상,-0.7924335378323155,정상
2019-08-26,2019,0.32989534770240675,6.65676107255706,False,1.0278718763532637,543.393502,1.7398079724019744,1,주의,-0.7604805725971386,정상
2019-08-27,2019,0.32701219176736634,5.724622817682601,False,0.5229424629141867,,,0,정상,-0.7285276073619618,정상
2019-08-28,2019,0.34909904000462055,12.865407650488736,False,-0.13516951408557648,,,0,정상,0.2939672801635984,정상
2019-08-29,2019,0.23446815478567515,-24.094277431527445,False,1.0302517066340287,,,1,주의,0.36426380368097533,정상
2019-08-30,2019,0.2844271918646443,-7.725747293467822,False,1.2309271450020922,,,0,정상,0.4665132924335458,정상
2019-08-31,2019,,,False,1.1864473127010595,,,0,정상,0.47290388548058004,정상
2019-09-01,2019,,,False,0.971099680695403,,,0,정상,0.47290388548058004,정상
2019-09-02,2019,0.3174145757146197,2.4852540372613863,False,1.2717279573308362,592.508503,1.8837151748823067,1,주의,0.4665132924335458,정상
2019-09-03,2019,0.27438060950840887,-11.40934090673288,False,1.1086663172741809,,,0,정상,0.41538854805726055,정상
2019-09-04,2019,,,False,-2.249221054853271,,,0,정상,0.41538854805726055,정상
2019-09-05,2019,,,False,-1.9553684773811606,,,0,정상,0.41538854805726055,정상
2019-09-06,2019,0.3139127526979784,1.3546026780853815,False,-0.2901237430779508,,,0,정상,0.41538854805726055,정상
2019-09-07,2019,,,False,-0.2807003893952743,,,0,정상,0.4665132924335458,정상
2019-09-08,2019,,,False,-0.47135394471025804,,,0,정상,0.47290388548058004,정상
2019-09-09,2019,,,False,-0.3754701510474199,584.50222,1.8582614358977332,1,주의,0.4665132924335458,정상
2019-09-10,2019,,,False,-0.5986941745457395,,,0,정상,0.47290388548058004,정상
2019-09-11,2019,0.3058908839100831,-1.2354587856332255,False,-0.7165212828751376,,,0,정상,0.5336145194274056,정상
2019-09-12,2019,,,False,0.4726230770219294,,,0,정상,0.5879345603271968,정상
2019-09-13,2019,,,False,1.6774969345724697,,,0,정상,0.6007157464212654,정상
2019-09-14,2019,,,False,2.1556923863469337,,,0,정상,0.5879345603271968,정상
2019-09-15,2019,,,False,1.6515404599444707,,,0,정상,0.5336145194274056,정상
2019-09-16,2019,0.3141439679122875,0.8092588940560308,False,0.9337047591380798,386.601514,1.229091455847469,1,주의,0.5879345603271968,정상
2019-09-17,2019,0.33421319451857295,6.97645219280647,False,1.0241007609739443,,,0,정상,0.6007157464212654,정상
2019-09-18,2019,0.34966307553394627,11.654532005891749,False,1.7960621715457805,,,0,정상,0.6390593047034709,정상
2019-09-19,2019,0.3007807418791178,-3.954591374526084,False,1.6029513271016285,,,0,정상,0.6774028629856765,정상
2019-09-20,2019,0.3381028649417142,7.705998573116135,False,1.0743783773829003,,,0,정상,0.7540899795500988,정상
2019-09-21,2019,,,False,0.6604907904062468,,,0,정상,0.8179959100204526,정상
2019-09-22,2019,,,False,1.5149420050429356,,,0,정상,0.8371676891615554,정상
2019-09-23,2019,0.3358252658532546,6.901707546719726,False,0.7174586153662782,467.879337,1.2171163242547949,1,주의,0.8563394683026582,정상
2019-09-24,2019,0.33931253143399104,8.004432315040999,False,-0.07425532984512381,,,0,정상,0.9777607361963203,정상
2019-09-25,2019,0.3460842389957895,10.15989184942545,False,0.010031172734080164,,,0,정상,1.8404907975460127,정상
2019-09-26,2019,0.31432154101720483,0.021440591407762,False,0.012363284614480184,,,0,정상,2.581799591002043,정상
2019-09-27,2019,0.29865745256061466,-4.942707106135769,False,0.5238615886767833,,,0,정상,3.009969325153372,정상
2019-09-28,2019,,,False,0.6901720814940832,,,0,정상,3.438139059304701,정상
2019-09-29,2019,,,False,0.9471983509358112,,,0,정상,3.5403885480572606,정상
2019-09-30,2019,0.3306245316593247,4.99144853955642,False,0.13271326240023912,358.366373,0.9322351472902998,0,정상,3.64263803680982,정상
2019-10-01,2019,0.3295446525837922,4.13710591758083,False,-3.349041164072682,0.024435,6.579313532412446e-05,0,정상,3.6873721881390598,정상
2019-10-02,2019,0.33084986195063687,3.8721500243751983,False,0.6838250406934638,,,0,정상,3.8982617586912016,정상
2019-10-03,2019,0.341032512524798,6.6742885321620316,False,0.17573215671665326,,,0,정상,4.195424335378317,정상
2019-10-04,2019,,,False,-0.47343730893272606,,,0,정상,4.342407975460116,정상
2019-10-05,2019,,,False,-0.3047253765749429,,,0,정상,4.358384458077702,정상
2019-10-06,2019,,,False,-0.1975149759071558,,,0,정상,4.6523517382413,정상
2019-10-07,2019,,,False,-0.19704128989365904,478.312362,1.2407297522832805,1,주의,4.946319018404899,정상
2019-10-08,2019,0.30627465559334155,-4.197899669530858,False,-0.971550732487771,,,0,정상,4.952709611451933,정상
2019-10-09,2019,0.28528435531101487,-10.433393625250531,False,-0.9429410191851805,,,0,정상,5.023006134969322,경계
2019-10-10,2019,0.29732658574304216,-5.870005570930825,False,-0.6103505906956119,,,0,정상,5.323364008179965,경계
2019-10-11,2019,0.315922374103,0.0,False,-0.49436234855608835,,,0,정상,6.3905930470347645,경계
2019-10-12,2019,,,False,0.16428779330982907,,,0,정상,6.3905930470347645,경계
2019-10-13,2019,,,False,2.2218116491091506,,,0,정상,6.3905930470347645,경계
2019-10-14,2019,0.2950574973049784,-6.824480273906241,False,1.3467915771013252,553.841928,1.296323790876854,1,주의,6.518404907975461,경계
2019-10-15,2019,,,False,-0.5954725720558368,,,0,정상,6.7963957055214745,경계
2019-10-16,2019,0.3028919394251575,-3.6362769013726925,False,0.7826353159054901,,,0,정상,7.147878323108381,경계
2019-10-17,2019,0.2829469965016683,-9.96237130448594,False,0.5498513386261413,,,0,정상,7.147878323108381,경계
2019-10-18,2019,0.2655478002108545,-15.480913650258088,False,1.525717068391295,,,1,주의,7.425869120654394,경계
2019-10-19,2019,,,False,0.28042960433216907,,,0,정상,7.630368098159512,경계
2019-10-20,2019,,,False,1.0827417685510936,,,0,정상,7.6814928425357865,경계
2019-10-21,2019,0.33183343697028034,5.593966912846171,False,0.39175564926518475,409.994478,0.9340624381193099,0,정상,7.630368098159512,경계
2019-10-22,2019,,,False,-0.32453697059933434,,,0,정상,7.425869120654394,경계
2019-10-23,2019,0.32010573378112217,1.8402151965781766,False,-0.9033359595199499,,,0,정상,7.352377300613499,경계
2019-10-24,2019,0.30101800401065154,-4.232461117205166,False,-1.2157022435540266,,,0,정상,6.7963957055214745,경계
2019-10-25,2019,0.28664393483541706,-8.785954642991822,False,-0.7520770227480719,,,0,정상,6.7963957055214745,경계
2019-10-26,2019,,,False,-0.7547445487582322,,,0,정상,7.074386503067487,경계
2019-10-27,2019,,,False,-0.4949024130436079,,,0,정상,7.403502044989773,경계
2019-10-28,2019,0.31015612480548455,-1.282886645940473,False,-0.5978400893215348,364.287287,0.8299308642666372,0,정상,7.074386503067487,경계
2019-10-29,2019,0.2981346279908227,-5.109112758620659,False,-1.168054644722371,,,0,정상,6.7963957055214745,경계
2019-10-30,2019,0.3092826488181272,-1.5608983347635719,False,-0.3139495117970528,,,0,정상,6.7963957055214745,경계
2019-10-31,2019,0.28446128324414593,-9.45492262678529,False,0.12544311805656141,,,0,정상,6.7963957055214745,경계
2019-11-01,2019,0.33108091917667076,5.377098866666286,False,0.08631454570296646,,,0,정상,6.230828220858897,경계
2019-11-02,2019,,,False,-0.8155085046278443,,,0,정상,5.943251533742333,경계
2019-11-03,2019,,,False,-0.42492123073511134,,,0,정상,5.8953220858895765,경계
2019-11-04,2019,,,False,0.2947057622614783,,,0,정상,5.8953220858895765,경계
2019-11-05,2019,,,False,0.38148223050105634,,,0,정상,5.8953220858895765,경계
2019-11-06,2019,,,False,0.7586278226265155,,,0,정상,5.847392638036819,경계
2019-11-07,2019,,,False,-0.19151617639207036,,,0,정상,5.777096114519431,경계
2019-11-08,2019,0.2980531176051087,-5.122126143027361,False,-0.25748409591262716,,,0,정상,5.777096114519431,경계
2019-11-09,2019,,,False,-0.2646658700715971,,,0,정상,5.706799591002043,경계
2019-11-10,2019,,,False,0.7335425658702366,,,0,정상,5.563011247443761,경계
2019-11-11,2019,0.3272111306963928,4.152511752727861,False,2.6474934345287338,483.510406,1.0108674673978006,0,정상,5.706799591002043,경계
2019-11-12,2019,0.2987448370301372,-4.866924522404636,False,-1.343758228528305,,,0,정상,5.777096114519431,경계
2019-11-13,2019,0.33128219730442693,5.494356300344627,False,1.0046465492743644,,,0,정상,5.777096114519431,경계
2019-11-14,2019,0.31991364368899566,1.8741248013855127,False,0.6759989855177386,,,0,정상,5.777096114519431,경계
2019-11-15,2019,0.2909159510478411,-7.325857727182861,False,-0.9629707048535394,,,0,정상,5.777096114519431,경계
2019-11-16,2019,,,False,-1.1293990627433415,,,0,정상,5.706799591002043,경계
2019-11-17,2019,,,False,-3.774437414464528,,,0,정상,5.563011247443761,경계
2019-11-18,2019,0.3416363772358839,8.83163372613247,False,0.565390835635828,384.728206,0.822280822373654,0,정상,5.706799591002043,경계
2019-11-19,2019,0.3106247672792057,-0.5264672359304945,False,-1.32271507064142,,,0,정상,5.7291666666666625,경계
2019-11-20,2019,0.29094522142919205,-6.8285852738452,False,-1.3029827422344826,,,0,정상,5.7291666666666625,경계
2019-11-21,2019,0.29542579997871576,-5.393738397171588,False,-1.4700027802744802,,,0,정상,6.1541411042944745,경계
2019-11-22,2019,0.31102657483602186,0.0,False,-0.5606704425495488,,,0,정상,6.914621676891619,경계
2019-11-23,2019,,,False,-0.5948462406469773,,,0,정상,7.272494887525571,경계
2019-11-24,2019,,,False,0.10762834149646543,,,0,정상,7.46421267893661,경계
2019-11-25,2019,0.2986752470257267,-3.774342659702934,False,-0.32355192170964575,374.205443,0.9127084950641701,0,정상,7.272494887525571,경계
2019-11-26,2019,0.3098407360443601,-0.05086941257931299,False,-1.7373200657127497,,,0,정상,7.07119120654397,경계
2019-11-27,2019,0.30719247559197776,-0.9051513032173553,False,0.40485383352275306,,,0,정상,7.461017382413093,경계
2019-11-28,2019,0.32453749160767026,4.557822492833785,False,-0.40780475296233065,,,0,정상,7.461017382413093,경계
2019-11-29,2019,,,False,-2.1688376396610187,,,0,정상,7.652735173824132,경계
2019-11-30,2019,,,False,2.558615701080031,,,0,정상,7.655930470347649,경계
2019-12-01,2019,,,False,1.5458749346023373,,,0,정상,7.777351738241311,경계
2019-12-02,2019,0.3316229729680518,6.759990799436766,False,-1.4353456760026249,340.827141,0.8815980503376921,0,정상,7.655930470347649,경계
2019-12-03,2019,0.3266060018256504,5.076907166111022,False,-0.9397557840243883,,,0,정상,7.652735173824132,경계
2019-12-04,2019,0.30309682263419796,-2.4234850011947695,False,0.8406030115542475,,,0,정상,7.649539877300615,경계
2019-12-05,2019,0.30159609396342324,-2.7599103024097182,False,0.03548143975676404,,,0,정상,7.649539877300615,경계
2019-12-06,2019,,,False,0.15528947384510952,,,0,정상,7.649539877300615,경계
2019-12-07,2019,,,False,0.48271360719496814,,,0,정상,7.649539877300615,경계
2019-12-08,2019,,,False,1.750365490877134,,,0,정상,7.461017382413093,경계
2019-12-09,2019,,,False,0.19977320798212686,559.27358,1.446640946160392,1,주의,7.272494887525571,경계
2019-12-10,2019,0.2697743576361355,-13.01981935538904,False,0.7873873775338308,,,0,정상,7.1606595092024605,경계
2019-12-11,2019,0.3133404913952868,0.9504304628433102,False,0.8557518491970603,,,0,정상,6.959355828220859,경계
2019-12-12,2019,0.29787521433208797,-3.959589861750623,False,1.0953800879775686,,,0,정상,6.7133179959100175,경계
2019-12-13,2019,0.3347887273057509,7.860512968262312,False,1.8314318834680205,,,0,정상,6.42893660531697,경계
2019-12-14,2019,,,False,0.701239715369198,,,0,정상,6.301124744376274,경계
2019-12-15,2019,,,False,1.1164581431139275,,,0,정상,6.141359918200406,경계
2019-12-16,2019,0.31791667297617815,2.502142485678993,False,1.5098252088203514,296.519176,0.7707237768784752,0,정상,5.981595092024539,경계
2019-12-17,2019,0.31159295826836086,0.4632613538673169,False,1.7885647923160632,,,0,정상,5.86656441717791,경계
2019-12-18,2019,,,False,0.5343004767321522,,,0,정상,5.86656441717791,경계
2019-12-19,2019,0.313733552631579,1.0770649135179111,False,0.8190792530702056,,,0,정상,5.738752556237214,경계
2019-12-20,2019,0.31145787807474645,0.2682048836086359,False,-0.026490347171284942,,,0,정상,5.738752556237214,경계
2019-12-21,2019,,,False,-0.779673749101132,,,0,정상,5.725971370143146,경계
2019-12-22,2019,,,False,-4.345990096800973,,,0,정상,5.690823108384457,경계
2019-12-23,2019,0.2711300147459305,-12.53826208917056,False,1.882709428186676,577.271729,1.5004663552014172,1,주의,5.725971370143146,경계
2019-12-24,2019,0.24904075807127102,-19.550524447857786,False,0.15116603194135755,,,1,주의,5.738752556237214,경계
2019-12-25,2019,0.2977722018394456,-3.3952255172083556,False,0.8010987445097271,,,0,정상,5.738752556237214,경계
2019-12-26,2019,0.3022087050686074,-1.9559125413905365,False,1.4310207736584009,,,0,정상,5.738752556237214,경계
2019-12-27,2019,,,False,1.1939998397795968,,,0,정상,5.725971370143146,경계
2019-12-28,2019,,,False,1.2320158428193073,,,0,정상,5.690823108384457,경계
2019-12-29,2019,,,False,0.8603275963478895,,,0,정상,5.655674846625769,경계
2019-12-30,2019,,,False,-8.06775478343638,,,0,정상,5.655674846625769,경계
2019-12-31,2019,,,False,-2.542687559855233,,,0,정상,5.655674846625769,경계
2020-01-01,2020,0.3108437666620589,1.4918345299795188,False,4.516812008047742,,,0,정상,5.725971370143146,경계
2020-01-02,2020,0.34962264561552603,13.98251930466028,False,0.4053168003425374,,,0,정상,5.751533742331283,경계
2020-01-03,2020,0.34001012487018967,10.683090207522294,False,-0.036921071759470896,,,0,정상,6.301124744376274,경계
2020-01-04,2020,,,False,-0.5911853630974698,,,0,정상,6.301124744376274,경계
2020-01-05,2020,,,False,1.1584877409162644,,,0,정상,6.301124744376274,경계
2020-01-06,2020,0.30420136247847895,-0.9736934824769894,False,0.020972411705090035,424.143366,1.0345099477169055,0,정상,6.0263292433537785,경계
2020-01-07,2020,0.31683890169352796,2.443154475130016,False,-0.024586458606750045,,,0,정상,5.751533742331283,경계
2020-01-08,2020,0.24937604444021286,-19.369532887421137,False,0.25774605089667474,,,1,주의,5.725971370143146,경계
