fold,variant,h,R2,persistence
3 단절관통,pool+VSin+EMA+SURGE (원안),10,0.45286639439120446,0.3714718203647148
3 단절관통,pool+VSin+EMA+SURGE (원안),14,0.37143635499198013,0.2862067663433928
3 단절관통,pool+EMA+SURGE (VSin 제외),1,0.8978804305352464,0.8918544685985179
3 단절관통,pool+EMA+SURGE (VSin 제외),3,0.6511173654399149,0.7095619456953257
3 단절관통,pool+EMA+SURGE (VSin 제외),5,0.6486747179961566,0.6182440473059997
3 단절관통,pool+EMA+SURGE (VSin 제외),7,0.5218480405248851,0.504298953054904
3 단절관통,pool+EMA+SURGE (VSin 제외),10,0.45173747104808804,0.3714718203647148
3 단절관통,pool+EMA+SURGE (VSin 제외),14,0.3710352296402689,0.2862067663433928
3 단절관통,pool+CODema+CODsurge,1,0.8897994565275793,0.8918544685985179
3 단절관통,pool+CODema+CODsurge,3,0.669403948673172,0.7095619456953257
3 단절관통,pool+CODema+CODsurge,5,0.664152121859894,0.6182440473059997
3 단절관통,pool+CODema+CODsurge,7,0.5291954283656463,0.504298953054904
3 단절관통,pool+CODema+CODsurge,10,0.5745073387408626,0.3714718203647148
3 단절관통,pool+CODema+CODsurge,14,0.525040672135886,0.2862067663433928
3 단절관통,pool+VSin+CODsurge,1,0.8984586235325295,0.8918544685985179
3 단절관통,pool+VSin+CODsurge,3,0.707047072974071,0.7095619456953257
3 단절관통,pool+VSin+CODsurge,5,0.700781557524131,0.6182440473059997
3 단절관통,pool+VSin+CODsurge,7,0.5864258171807994,0.504298953054904
3 단절관통,pool+VSin+CODsurge,10,0.6288319388922495,0.3714718203647148
3 단절관통,pool+VSin+CODsurge,14,0.5961376835276823,0.2862067663433928
3 단절관통,pool+VSin+SURGE+유입pH,1,0.8270562432840237,0.8918544685985179
3 단절관통,pool+VSin+SURGE+유입pH,3,0.4176993044471886,0.7095619456953257
3 단절관통,pool+VSin+SURGE+유입pH,5,0.22271195480110195,0.6182440473059997
3 단절관통,pool+VSin+SURGE+유입pH,7,0.03087058123398556,0.504298953054904
3 단절관통,pool+VSin+SURGE+유입pH,10,-0.39056458222608303,0.3714718203647148
3 단절관통,pool+VSin+SURGE+유입pH,14,-0.7850835561556302,0.2862067663433928
3 단절관통,pool만,1,0.8902960256530125,0.8918544685985179
3 단절관통,pool만,3,0.668935282282398,0.7095619456953257
3 단절관통,pool만,5,0.6633630950149945,0.6182440473059997
3 단절관통,pool만,7,0.522663837710322,0.504298953054904
3 단절관통,pool만,10,0.5701390053862345,0.3714718203647148
3 단절관통,pool만,14,0.5150323532333501,0.2862067663433928
