origin_idx,h,fold,y_true,pred_HistGBM,pred_RandomForest,pred_ExtraTrees,pred_ElasticNet,pred_BayesianRidge,pred_kNN,pred_Naive,pred_SeasonalNaive,pred_Stack
1989,3,10,5601.7,5762.965356697208,5727.763969325096,5800.310281021332,5291.69921875,5256.72998046875,5825.950625668111,5378.784,5209.534120833333,5568.7237189163725
1990,1,10,5343.597,5683.3967834206605,5624.690441532439,5657.890018376985,5359.1806640625,5377.1396484375,5883.799450944818,5430.009,5199.262670833333,5528.25085630606
1990,2,10,5601.7,5709.966024870147,5690.321508697915,5744.316672714289,5359.15380859375,5376.03662109375,5881.9471844025,5430.009,5199.262670833333,5580.579284703085
1991,1,10,5601.7,5709.447107157683,5661.277280043849,5697.174646362603,5357.1416015625,5348.23046875,5887.424386577763,5343.597,5193.010070833333,5541.075443804906
1992,3,10,5625.8985,6251.984794112405,5843.644503654161,5977.198310087303,5474.392578125,5480.13818359375,5937.77593525263,5601.7,5192.063004166667,5762.894842135545
1993,2,10,5625.8985,6126.45274597264,5900.824202241664,5913.464370179565,5471.50537109375,5427.6943359375,5954.971723029936,5601.7,5194.960287499999,5703.757188538013
1993,3,10,5871.804,6166.796826973166,5934.444435760612,5968.901508226688,5471.478515625,5426.591796875,5943.712437892551,5601.7,5194.960287499999,5737.170093905354
1994,1,10,5625.8985,5522.744560052486,5575.355044682838,5577.12108083284,5239.810546875,5110.38818359375,5962.599960800539,5601.7,5188.661109722222,5376.026267975441
1994,2,10,5871.804,5608.8600373499785,5609.773525010317,5652.406892824903,5239.783203125,5109.28564453125,5965.068767801586,5601.7,5188.661109722222,5421.554618613996
1994,3,10,6401.152,5667.705807227689,5630.28754262986,5711.0466510753995,5239.75634765625,5108.1826171875,6004.882593557893,5601.7,5188.661109722222,5456.922185054677
1995,1,10,5871.804,6089.378248821556,5932.762703420795,5816.6759841875,5473.9267578125,5466.7470703125,5932.895113448811,5625.8985,5195.211009722222,5659.746655869225
1995,2,10,6401.152,6170.178483939714,5942.942037316829,5895.844956146826,5473.89990234375,5465.64404296875,5918.223904863887,5625.8985,5195.211009722222,5707.645062699561
